month,u_gasoline_sum,u_diesel_sum,gasoline_price_base,diesel_price_base,cpi_yoy,cpi_target,x_gasoline,x_diesel,cpi_hat_next,inflation_excess,deflation_gap,Lpi_inflation,Lpi_deflation,Lpi_raw,Lpi_winsorized,Lpi,mechanism,mechanism_label
2020-10-01,80.0,70.0,6845.0,5920.0,0.005,0.035,0.01168736303871439,0.011824324324324325,0.005511931789891316,0.0,0.014488068210108684,0.0,1.4672636531843493,1.4672636531843493,1.4672636531843493,1.2738884140181432,current,Current mechanism
2020-11-01,-10.0,-5.0,6925.0,5990.0,-0.005,0.035,0.0,0.0,-0.004728612743340238,0.0,0.02472861274334024,0.0,4.274513591669845,4.274513591669845,2.810768220519442,2.4403283369278954,current,Current mechanism
2020-12-01,405.0,390.0,6915.0,5985.0,0.002,0.035,0.05856832971800434,0.06516290726817042,0.005269072621358659,0.0,0.014730927378641342,0.0,1.516866543378618,1.516866543378618,1.516866543378618,1.3169539850783663,current,Current mechanism
2021-01-01,350.0,335.0,7320.0,6375.0,-0.003,0.03,0.04781420765027322,0.05254901960784314,0.00010881674725160507,0.0,0.019891183252748395,0.0,2.7657214144642563,2.7657214144642563,2.7657214144642563,2.401218389511367,current,Current mechanism
2021-03-01,495.0,480.0,7670.0,6710.0,0.004,0.03,0.06453715775749674,0.07153502235469449,0.007539910427952647,0.0,0.012460089572047355,0.0,1.085249324413531,1.085249324413531,1.085249324413531,0.9422209414722801,current,Current mechanism
2021-04-01,-125.0,-125.0,8165.0,7190.0,0.009,0.03,0.0,0.0,0.00829878786101896,0.0,0.011701212138981041,0.0,0.9570814557714611,0.9570814557714611,0.9570814557714611,0.8309447147640195,current,Current mechanism
2021-05-01,100.0,100.0,8040.0,7065.0,0.013,0.03,0.012437810945273632,0.014154281670205236,0.012696438711167615,0.0,0.007303561288832385,0.0,0.3728692348698935,0.3728692348698935,0.3728692348698935,0.3237276390059178,current,Current mechanism
2021-06-01,400.0,385.0,8140.0,7165.0,0.011,0.03,0.04914004914004914,0.05373342637822749,0.013274272463302775,0.0,0.006725727536697226,0.0,0.31620281727502586,0.31620281727502586,0.31620281727502586,0.2745294647845694,current,Current mechanism
2021-07-01,-30.0,-30.0,8540.0,7550.0,0.01,0.03,0.0,0.0,0.009229316475616046,0.0,0.010770683524383954,0.0,0.8109119973498496,0.8109119973498496,0.8109119973498496,0.7040393837674487,current,Current mechanism
2021-08-01,-250.0,-245.0,8510.0,7520.0,0.008,0.03,0.0,0.0,0.0073682592464218745,0.0,0.012631740753578126,0.0,1.1153562448406515,1.1153562448406515,1.1153562448406515,0.9683599772417815,current,Current mechanism
2021-09-01,230.0,225.0,8260.0,7275.0,0.0069999999999999,0.03,0.02784503631961259,0.030927835051546393,0.008104793388084865,0.0,0.011895206611915135,0.0,0.9890794419781396,0.9890794419781396,0.9890794419781396,0.8587255868739065,current,Current mechanism
2021-10-01,645.0,620.0,8490.0,7500.0,0.015,0.03,0.07597173144876325,0.08266666666666667,0.01877970694948663,0.0,0.001220293050513372,0.0,0.010409154901700034,0.010409154901700034,0.010409154901700034,0.00903730001095435,current,Current mechanism
2021-11-01,-95.0,-90.0,9135.0,8120.0,0.023,0.03,0.0,0.0,0.021326188465378156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2021-12-01,-560.0,-540.0,9040.0,8030.0,0.015,0.03,0.0,0.0,0.013881959548601473,0.0,0.006118040451398528,0.0,0.261644664955483,0.261644664955483,0.261644664955483,0.22716170100246572,current,Current mechanism
2022-01-01,795.0,765.0,8480.0,7490.0,0.009,0.03,0.09375,0.10213618157543392,0.014317307759762648,0.0,0.005682692240237352,0.0,0.2257332156491118,0.2257332156491118,0.2257332156491118,0.19598313326332578,current,Current mechanism
2022-02-01,210.0,200.0,9275.0,8255.0,0.009,0.03,0.022641509433962263,0.024227740763173834,0.009841713836783637,0.0,0.010158286163216363,0.0,0.7213201781792232,0.7213201781792232,0.7213201781792232,0.6262551490223315,current,Current mechanism
2022-03-01,1010.0,975.0,9485.0,8455.0,0.015,0.03,0.10648392198207696,0.1153163808397398,0.020859011207031035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2022-04-01,-230.0,-220.0,10495.0,9430.0,0.021,0.03,0.0,0.0,0.019465131236183986,0.0,0.0005348687638160148,0.0,0.001999777452359301,0.001999777452359301,0.001999777452359301,0.0017362205638001733,current,Current mechanism
2022-05-01,685.0,660.0,10265.0,9210.0,0.021,0.03,0.06673161227471992,0.07166123778501629,0.023960803154679383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2022-06-01,70.0,65.0,10950.0,9870.0,0.025,0.03,0.006392694063926941,0.006585612968591692,0.023674784512360974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2022-07-01,-660.0,-635.0,11020.0,9935.0,0.027,0.03,0.0,0.0,0.0250483029237665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2022-08-01,-335.0,-325.0,10360.0,9300.0,0.025,0.03,0.0,0.0,0.02318724569457233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2022-09-01,-100.0,-95.0,10025.0,8975.0,0.0279999999999999,0.03,0.0,0.0,0.02597883153836349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2022-10-01,185.0,175.0,9925.0,8880.0,0.021,0.03,0.018639798488664986,0.019707207207207207,0.02078390581176215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current,Current mechanism
2022-11-01,-20.0,-15.0,10110.0,9055.0,0.016,0.03,0.0,0.0,0.01481248816319856,0.0,0.005187511836801441,0.0,0.18810719041934743,0.18810719041934743,0.18810719041934743,0.16331595889304307,current,Current mechanism
2022-12-01,-920.0,-885.0,10090.0,9040.0,0.018,0.03,0.0,0.0,0.016673545392392727,0.0,0.003326454607607273,0.0,0.07734823328981442,0.07734823328981442,0.07734823328981442,0.06715426911777199,current,Current mechanism
2023-01-01,45.0,45.0,9170.0,8155.0,0.021,0.03,0.004907306434023991,0.005518087063151441,0.0197451903513613,0.0,0.0002548096486387,0.0,0.0004538568906140285,0.0004538568906140285,0.0004538568906140285,0.00039404167977632673,current,Current mechanism
2023-02-01,210.0,200.0,9215.0,8200.0,0.01,0.03,0.02278893109061313,0.024390243902439025,0.010781320921453409,0.0,0.009218679078546592,0.0,0.5940521725799515,0.5940521725799515,0.5940521725799515,0.5157601896084225,current,Current mechanism
2023-03-01,-100.0,-95.0,9425.0,8400.0,0.0069999999999999,0.03,0.0,0.0,0.006437730631824696,0.0,0.013562269368175305,0.0,1.2857363645574391,1.2857363645574391,1.2857363645574391,1.1162851712007502,current,Current mechanism
2023-04-01,55.0,50.0,9325.0,8305.0,0.001,0.03,0.005898123324396783,0.006020469596628537,0.0013157083512240115,0.0,0.01868429164877599,0.0,2.440284553049802,2.440284553049802,2.440284553049802,2.1186718639768625,current,Current mechanism
2023-05-01,-280.0,-270.0,9380.0,8355.0,0.002,0.03,0.0,0.0,0.0017850875588393607,0.0,0.01821491244116064,0.0,2.3192169228549595,2.3192169228549595,2.3192169228549595,2.013560113213371,current,Current mechanism
2023-06-01,15.0,20.0,9100.0,8085.0,0.0,0.03,0.0016483516483516484,0.0024737167594310453,-0.00010816348879380777,0.0,0.02010816348879381,0.0,2.826389497340968,2.826389497340968,2.810768220519442,2.4403283369278954,current,Current mechanism
2023-07-01,430.0,410.0,9115.0,8105.0,-0.003,0.03,0.047174986286341196,0.05058605798889575,0.00032563384459326694,0.0,0.019674366155406735,0.0,2.7057564028485284,2.7057564028485284,2.7057564028485284,2.349156353231823,current,Current mechanism
2023-08-01,295.0,285.0,9545.0,8515.0,0.001,0.03,0.030906233630172867,0.03347034644744568,0.0028794883747486734,0.0,0.017120511625251328,0.0,2.0488995790453526,2.0488995790453526,2.0488995790453526,1.7788687326698145,current,Current mechanism
2023-09-01,385.0,370.0,9840.0,8800.0,0.0,0.03,0.0391260162601626,0.042045454545454546,0.002554003130379963,0.0,0.017445996869620038,0.0,2.1275451038385147,2.1275451038385147,2.1275451038385147,1.8471493192099067,current,Current mechanism
2023-10-01,-155.0,-150.0,10225.0,9170.0,-0.002,0.03,0.0,0.0,-0.0019370268995489816,0.0,0.021937026899548982,0.0,3.3638973211494174,3.3638973211494174,2.810768220519442,2.4403283369278954,current,Current mechanism
2023-11-01,-480.0,-465.0,10070.0,9020.0,-0.005,0.03,0.0,0.0,-0.004728612743340238,0.0,0.02472861274334024,0.0,4.274513591669845,4.274513591669845,2.810768220519442,2.4403283369278954,current,Current mechanism
2023-12-01,-470.0,-450.0,9590.0,8555.0,-0.003,0.03,0.0,0.0,-0.0028675555141460672,0.0,0.022867555514146067,0.0,3.65533074734198,3.65533074734198,2.810768220519442,2.4403283369278954,current,Current mechanism
2024-01-01,150.0,140.0,9120.0,8105.0,-0.008,0.03,0.01644736842105263,0.01727328809376928,-0.006332935862672667,0.0,0.026332935862672668,0.0,4.847142171087519,4.847142171087519,2.810768220519442,2.4403283369278954,current,Current mechanism
